Date,PeriodNum,HDigit,TDigit,Digit
2016-11-19,2016317,2,4,3
2016-11-20,2016318,4,7,0
2016-11-21,2016319,5,5,7
2016-11-22,2016320,5,2,9
2016-11-23,2016321,8,3,2
2016-11-24,2016322,1,5,3
2016-11-25,2016323,8,7,7
2016-11-26,2016324,6,6,3
2016-11-27,2016325,9,6,1
2016-11-28,2016326,6,9,0
2016-11-29,2016327,8,3,1
2016-11-30,2016328,7,0,9
2016-12-01,2016329,2,4,4
2016-12-02,2016330,3,1,8
2016-12-03,2016331,9,8,3
2016-12-04,2016332,7,7,6
2016-12-05,2016333,0,5,4
2016-12-06,2016334,1,8,9
2016-12-07,2016335,5,5,0
2016-12-08,2016336,0,9,7
2016-12-09,2016337,2,9,9
2016-12-10,2016338,3,0,1
2016-12-11,2016339,2,6,2
2016-12-12,2016340,4,9,3
2016-12-13,2016341,1,5,1
2016-12-14,2016342,4,4,8
2016-12-15,2016343,2,2,5
2016-12-16,2016344,3,6,7
2016-12-17,2016345,5,5,9
2016-12-18,2016346,0,2,9
2016-12-19,2016347,8,0,6
2016-12-20,2016348,2,8,9
2016-12-21,2016349,0,4,9
2016-12-22,2016350,3,8,3
2016-12-23,2016351,8,1,8
2016-12-24,2016352,0,1,6
2016-12-25,2016353,0,8,4
2016-12-26,2016354,4,2,8
2016-12-27,2016355,9,4,2
2016-12-28,2016356,1,2,5
2016-12-29,2016357,4,1,5
2016-12-30,2016358,1,1,0
2016-12-31,2016359,8,8,3
2017-01-01,2017001,3,6,9
2017-01-02,2017002,7,7,9
2017-01-03,2017003,6,5,0
2017-01-04,2017004,3,1,7
2017-01-05,2017005,2,4,6
2017-01-06,2017006,8,8,8
2017-01-07,2017007,7,8,3
2017-01-08,2017008,1,6,9
2017-01-09,2017009,2,0,2
2017-01-10,2017010,9,7,6
2017-01-11,2017011,9,0,9
2017-01-12,2017012,1,2,5
2017-01-13,2017013,5,8,2
2017-01-14,2017014,2,2,1
2017-01-15,2017015,9,5,0
2017-01-16,2017016,4,6,9
2017-01-17,2017017,8,1,7
2017-01-18,2017018,3,1,5
2017-01-19,2017019,6,0,6
2017-01-20,2017020,8,9,3
2017-01-21,2017021,8,5,4
2017-01-22,2017022,0,2,8
2017-01-23,2017023,2,5,0
2017-01-24,2017024,7,0,9
2017-01-25,2017025,3,5,9
2017-01-26,2017026,2,5,9
2017-02-03,2017027,8,7,3
2017-02-04,2017028,1,9,3
2017-02-05,2017029,2,7,2
2017-02-06,2017030,1,0,7
2017-02-07,2017031,3,7,6
2017-02-08,2017032,2,3,7
2017-02-09,2017033,1,1,4
2017-02-10,2017034,3,4,8
2017-02-11,2017035,6,2,4
2017-02-12,2017036,6,5,0
2017-02-13,2017037,8,9,7
2017-02-14,2017038,1,3,4
2017-02-15,2017039,3,9,5
2017-02-16,2017040,8,9,9
2017-02-17,2017041,4,8,0
2017-02-18,2017042,0,0,0
2017-02-19,2017043,0,5,0
2017-02-20,2017044,8,6,1
2017-02-21,2017045,6,7,9
2017-02-22,2017046,5,7,0
2017-02-23,2017047,9,4,5
2017-02-24,2017048,5,5,7
2017-02-25,2017049,0,3,6
2017-02-26,2017050,2,7,8
2017-02-27,2017051,7,0,2
2017-02-28,2017052,7,3,1
2017-03-01,2017053,6,5,2
2017-03-02,2017054,7,5,4
2017-03-03,2017055,2,7,6
2017-03-04,2017056,1,0,2
2017-03-05,2017057,2,4,2
2017-03-06,2017058,2,6,2
2017-03-07,2017059,1,4,3
2017-03-08,2017060,8,6,8
2017-03-09,2017061,4,5,4
2017-03-10,2017062,9,7,5
2017-03-11,2017063,8,6,4
2017-03-12,2017064,1,5,8
2017-03-13,2017065,5,7,7
2017-03-14,2017066,3,2,2
2017-03-15,2017067,6,4,4
2017-03-16,2017068,9,1,0
2017-03-17,2017069,5,1,8
2017-03-18,2017070,2,3,1
2017-03-19,2017071,8,8,2
2017-03-20,2017072,1,7,4
2017-03-21,2017073,0,7,5
2017-03-22,2017074,5,7,6
2017-03-23,2017075,7,8,7
2017-03-24,2017076,0,7,4
