Date,PeriodNum,HDigit,TDigit,Digit
2018-09-30,2018266,6,2,1
2018-10-01,2018267,0,0,1
2018-10-02,2018268,7,2,8
2018-10-03,2018269,6,5,9
2018-10-04,2018270,3,4,9
2018-10-05,2018271,5,3,6
2018-10-06,2018272,0,8,5
2018-10-07,2018273,4,5,7
2018-10-08,2018274,5,5,7
2018-10-09,2018275,2,6,4
2018-10-10,2018276,2,6,1
2018-10-11,2018277,7,0,9
2018-10-12,2018278,5,6,3
2018-10-13,2018279,3,7,5
2018-10-14,2018280,6,6,9
2018-10-15,2018281,9,4,7
2018-10-16,2018282,6,1,7
2018-10-17,2018283,5,5,8
2018-10-18,2018284,6,3,4
2018-10-19,2018285,9,8,2
2018-10-20,2018286,6,9,1
2018-10-21,2018287,3,8,7
